file_name,text
0064438783.jpg,"children's drawing of a man and a elf around a bonfire below the title ""The leprechaun's Gold"""
0064440028.jpg,"children's drawing of a boy riding a yellow dinosaur and the title ""DANNY AND THE DINOSAUR"""
0064440214.jpg,"children's drawing of two frogs riding a bicycle with the title ""Frog and Toad Together"""
0064440419.jpg,"children's drawing of a mouse in a bowl and the title ""MOUSE SOUP"""
0064442705.jpg,"children's drawing of three kids and a seal in a city with the caption ""Sammy The seal"""
0064450260.jpg,"children's drawing of a girl eating corn in a field with the title ""CORN IS MAIZE The gift of the indians"""
006445083X.jpg,"children's drawing of a smiling boy with the title ""My five senses"""
0064450937.jpg,"children's drawing of three kids grabbing fossils below the title ""FOSSILS TELL OF LONG AGO"""
006445097X.jpg,"children's drawing of two boys with a cat and a dog below the captions ""SWITCH ON"" and ""SWITCH OFF"""
0064451569.jpg,"drawing of turtles by a river under the title ""Look Out For Turtles!"""
0064451887.jpg,"children's drawing of two deers crossing the road in a forest with the title ""EARTHQUAKES"""
014240621X.jpg,"children's drawing of three mice dressed for Halloween under the title ""Angelina's Halloween"""
014250162X.jpg,"children's drawing of two rabbits dressed and dancing below the caption ""BUNNY PARTY"""
015202154X.jpg,"children's drawing of three tools of a toolbox with the caption ""My little Red toolbox"""
015205961X.jpg,"children's drawing of a yellow airplane with the captions ""Sometimes"" and ""Algunas veces"""
030797698X.jpg,"children's drawing of a dancing girl with a pink tutu and the title ""Not That Tutu!"""
031236752X.jpg,"children's drawing of a white rabbit playing with a yellow airplane and the caption ""My Friend Rabbit"""
031250215X.jpg,"picture of two chickens with the title ""Numbers Números"""
031251106X.jpg,"drawing of twelve colored trucks with the title ""My big truck book"""
031251381X.jpg,"picture of two dogs and other animals with the title ""Noisy pets"""
031622569X.jpg,"children's drawing of two kids with a gorila and the title ""THE SASQUATCH SCAPE"""
031637086X.jpg,"children's drawing of people on a boat in the jungle with the title ""TREASURE HUNTERS"""
037582636X.jpg,"children's drawing of a person riding a horse in a street market with the title ""Arabian nights"""
037587366X.jpg,"children's drawing of a family of four bears with the title ""The big book of Berenstain Bears Beginner books"""
037596679X.jpg,"drawing of a dinousaur in the jungle with the title ""DINOUSAURS"""
038537254X.jpg,"children's drawing of a dog with a red shoe in its mouth and the title ""Drop it Rocket!"""
039480001X.jpg,"children's drawing of a cat with a red and white hat and the title ""THE CAT IN THE HAT"""
039924039X.jpg,"children's drawing of a girl looking at Lincoln's statue with the caption ""Looking at LINCOLN"""
039924395X.jpg,"children's drawing of two bears below the caption ""You are my I Love you"""
043954324X.jpg,"children's drawing of two knights and a yellow castle with the title ""Castle"""
043985654X.jpg,"children's drawing of a dinousaur in a slide with the title ""How Do dinousaurs play with their friends?"""
044041072X.jpg,"drawing of a boy grabbing a jar with sweets and the title ""The candy corn contest"""
051626401X.jpg,"children's drawing of two persons and a horn with the caption ""SOUSA"""
051626415X.jpg,"picture of a beach with a rainbow and the title ""All the colors of the rainbow"""
054403256X.jpg,"children's drawing of a stick and a stone with the title ""Stick and stone"""
054438072X.jpg,"children's drawing of a children's park with children playing and the title ""Where is curious George? AROUND THE TOWN"""
054521596X.jpg,"children's drawing of a big red dog and Santa Claus with the title ""Clifford's Christmas"""
054548443X.jpg,"children's drawing of a hanging grey pig with the title ""Boris on the move"""
054567493X.jpg,"drawing of a boy with a baseball bat below the caption ""LITTLE Rhino"""
054750425X.jpg,"children's drawing of a monkey in front of a green truck and the title ""Curious George and the Dump truck"""
054787507X.jpg,"children's drawing of a boy and a jaguar in a forest with the title ""A boy and a jaguar"""
059046146X.jpg,"children's drawing of a boy and a dog next to the sea with the title ""The hole in the dike"""
061559722X.jpg,"children's drawing of a girl with a pink dress and a tennis racket with the title ""The Last Point"""
061891952X.jpg,"children's drawing of a monkey coming out of a pumpking and the title ""HAPPY HALLOWEEN Curious George"""
067982412X.jpg,"children's drawing of a knight riding a black horse and the caption ""The knight at dawn"""
067988629X.jpg,"children's drawing of a dog riding a yellow car with the title ""Go Dog Go!"""
068984137X.jpg,"children's drawing of a tipi and snowy mountains with the title ""Storm Maker's Tipi"""
068985112X.jpg,"children's drawing of four elfs working with the title ""TOO MANY Leprechauns"""
068985143X.jpg,"drawing of a woman writting a letter and the caption ""THANK YOU Sarah"""
068985160X.jpg,"children's drawing of a monster truck and the title ""SMASH! MASH! CRASH! There goes the trash"""
068985787X.jpg,"drawing of a turtle and a hippo with the title ""A Mama for Owen"""
069401107X.jpg,"children's drawing of a yellow claw truck with the title ""Machines At Work"""
075346697X.jpg,"picture of a tree in fall with the title ""Leaves change color"""
075347252X.jpg,"picture of a knight with a sword and the title ""Awesome Knights"""
076145683X.jpg,"children's drawing of a grey monster sleeping and the caption ""Goodnight Little Monster"""
076145988X.jpg,"children's drawing of four grey mice and two trees with the title ""The Hanukkah mice"""
076366555X.jpg,"children's drawing of a cat over a piano keyboard with the caption ""KETZEL the CAT that COMPOSED"""
076367544X.jpg,"children's drawing of two elephants with a moon behind and the title ""Always"""
077105484X.jpg,"children's drawing of a skunk in a sports bag with the title ""THE COMPLETE SCREECH OWLS"""
078685166X.jpg,"children's drawing of Santa Claus belt and the title ""Santa's Kwanzaa"""
080508763X.jpg,"picture of two robots below the caption ""Cool Robots"""
080755393X.jpg,"drawing of kids playing in the snow with a snowman and the title ""The Boxcar Children The mistery in the snow"""
081672816X.jpg,"children's drawing of a woman with her head covered and the title ""The PRINCESS who lost her hair"""
082341373X.jpg,"children's drawing of a green turtle below the caption ""SEA TURTLES"""
